      [,1] [,2] [,3]
 [1,]    1    1    3
 [2,]    1    3    3
 [3,]    1    1    1
 [4,]    3    1    1
 [5,]    3    3    1
 [6,]    1    3    1
 [7,]    2    2    3
 [8,]    2    2    2
 [9,]    3    2    2
[10,]    3    2    3
[11,]    3    3    2
[12,]    2    3    2
[13,]    3    2    1
[14,]    3    3    3
[15,]    2    3    1
[16,]    1    3    2
[17,]    2    3    3
[18,]    1    2    3
      [,1] [,2] [,3]
 [1,]    2    1    2
 [2,]    3    2    1
 [3,]    3    1    2
 [4,]    1    2    3
 [5,]    2    2    1
 [6,]    2    1    3
 [7,]    1    1    2
 [8,]    2    3    1
 [9,]    2    1    1
